epoch,accuracy,loss,val_accuracy,val_loss
0,0.7764999866485596,0.6810699105262756,0.8412500023841858,0.34035351872444153
1,0.8414999842643738,0.3613056540489197,0.9024999737739563,0.2379700094461441
2,0.8920000195503235,0.28990522027015686,0.8450000286102295,0.4090275168418884
3,0.8949999809265137,0.25952035188674927,0.9037500023841858,0.26855534315109253
4,0.9194999933242798,0.21976454555988312,0.8774999976158142,0.3326731026172638
5,0.9294999837875366,0.19205211102962494,0.8987500071525574,0.3088729679584503
6,0.9309999942779541,0.17283180356025696,0.887499988079071,0.3273909091949463
7,0.9445000290870667,0.16164341568946838,0.8949999809265137,0.3124578595161438
8,0.9419999718666077,0.14640450477600098,0.9024999737739563,0.3287084102630615
9,0.9505000114440918,0.13355784118175507,0.9037500023841858,0.39023590087890625
